route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
265,32394,32394,"Zubieta - Donostia Ida",0,,
265,32395,32395,"Zubieta - Donostia Ida",0,,
266,32396,32396,"Zubieta - Lasarte Oria Ida",0,,
266,32397,32397,"Zubieta - Lasarte Oria Ida",0,,
266,32398,32398,"Zubieta - Lasarte Oria Ida",0,,
266,32399,32399,"Zubieta - Lasarte Oria Ida",0,,
266,32400,32400,"Zubieta - Lasarte Oria Ida",0,,
266,32401,32401,"Zubieta - Lasarte Oria Ida",0,,
267,32402,32402,"Zubieta – Andoain Ida",0,,
267,32403,32403,"Zubieta – Andoain Ida",0,,
268,32404,32404,"Zubieta – Donostia Por Amara Ida",0,,
269,32405,32405,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32406,32406,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32407,32407,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32408,32408,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32409,32409,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32410,32410,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32411,32411,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32412,32412,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32413,32413,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32414,32414,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32415,32415,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32416,32416,"Donostia Hospitales - Usurbil Vuelta",1,,
269,32417,32417,"Donostia Hospitales - Usurbil Vuelta",1,,
270,32418,32418,"Donostia-Lasarte Oria Vuelta",1,,
270,32419,32419,"Donostia-Lasarte Oria Vuelta",1,,
270,32420,32420,"Donostia-Lasarte Oria Vuelta",1,,
271,32421,32421,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32422,32422,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32423,32423,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32424,32424,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32425,32425,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32426,32426,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32427,32427,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32428,32428,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32429,32429,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32430,32430,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32431,32431,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32432,32432,"Donostia-Andoain Por Sorabilla  Vuelta (Nocturno)",1,,
271,32433,32433,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32434,32434,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32435,32435,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32436,32436,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32437,32437,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32438,32438,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32439,32439,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32440,32440,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32441,32441,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32442,32442,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32443,32443,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32444,32444,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32445,32445,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32446,32446,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32447,32447,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32448,32448,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32449,32449,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32450,32450,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32451,32451,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32452,32452,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32453,32453,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32454,32454,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32455,32455,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32456,32456,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32457,32457,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32458,32458,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32459,32459,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32460,32460,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
271,32461,32461,"Donostia-Andoain Por Sorabilla  Vuelta",1,,
272,32462,32462,"Donostia-Tolosa Vuelta (Nocturno)",1,,
272,32463,32463,"Donostia-Tolosa Vuelta (Nocturno)",1,,
272,32464,32464,"Donostia-Tolosa Vuelta (Nocturno)",1,,
272,32465,32465,"Donostia-Tolosa Vuelta (Nocturno)",1,,
